Vad är din nuvarande roll på din arbetsplats?,Vad är din lön?,Hur länge har du kodat professionellt? (i)
Utvecklare (konsult),60000,4.5
Software engineer,32000,0.5
Sre,48000,2
Lead Software Engineer,55000,6
systemutvecklare,45000,15
Utvecklare   Kpbsult,80000,20
Data Scientist,42000,1
Junior Konsult (web. full stack),35000,2
Frontend dev,32000,1.5
Systemutvecklare,32000,1.5
Konsult. systemutvecklare,30000,2
Systemutvecklare,37000,1.5
Webbutvecklare,24900,6
Senior web developer,33000,8
Systemutvecklare,33000,2.5
Systemutvecklare,39000,10
Webbutvecklare,40000,10
Systemutvecklare ,37000,5
Junior Utvecklare,32000,1
WTS,42000,4
Fullstack,40000,4
Front end utvecklare,23000,2
Utvecklare,49000,18
Frontend JS developer,39500,6
Team leader/Utvecklare,37200,6
Tech lead,40000,7
Systemutvecklare 2,31400,4
Front end developer,30000,2
Webbutvecklare,47780,8
Software Engineer,30000,1
Frontendutvecklare,50000,4
Front End utvecklare,32000,1.5
IT Konsult,82450,5
Lead Developer,45000,8
Lead developer ,47000,15
Programmerare,70000,28
Webbutvecklare,32000,4
Utvecklare ,41500,8
Fullstackutvecklare,32000,2
Systemutvecklare,32003,0.75
Projektledare,47000,17
Utvecklare,39600,5
Backendutvecklare. webb,37000,3.5
Konsult devops/java backend,50000,10
Utvecklare,46000,6
Frontend (konsult),62000,8
iOS utvecklare,37000,4.5
Frontendutvecklare,31000,5
Webbutvecklare,31000,4
Front end utvecklare,36000,7
Ägare,35000,3
Utvecklare,50000,8
Systemutvecklare,32000,2
Software engineer,34000,0.5
Webbutvecklare (sätter bara upp wordpress utefter design för tillfället),27000,6
Senior frontend utvecklare,51000,15
Frontend Develop,38400,5
Senior software engineer ,54000,24
junior utvecklare,36000,1
Software developer ,30500,2
Utvecklare/kodapa,32000,1.5
Senior utvecklare,50000,12
Webbutvecklare,31000,2
Junior backend utvecklare,22500,0.5
Frontendutvecklare,28500,2.5
Software developer,42000,6
Frontend utvecklare,40000,6
Systemutvecklare,26000,1
Front end utvecklare,29000,3
Software Developer,34000,1.5
team lead,49000,10
Utvecklare,48500,8
Data Scientist,37000,1
Senior software engineer,50000,8
Developer and Test lead ,31400,3
Skatteverket (konsult) ,50770,6
Frontend developer,27000,2
data scientist,35300,0.5
Machine learning engineer,30000,0.5
Frontend utveckling ,50000,8
Konsult,66300,15
Fullstack utvecklare,34000,0.5
Tech Lead,41000,8
AI Developer,35000,0.25
Data Scientist,50100,5
Egenföretagare,39000,17
Frontend utvecklare,27000,2
C# Utvecklare ,38000,4.5
VD,55000,12
systemutvecklare,26000,1
IT ansvarig / systemutvecklare / devops / fullstack,36000,8
Team lead,52000,15
Data science konsult,37000,2
Sw designer ,46000,10
Seniorkonsult,67500,30
Utvecklare ,42000,10
Webbutvecklare,10000,10
Junior Webbutvecklare,26000,1
arkitekt,36000,36
Systemutvecklare/Konsult,53500,17
frontend,35000,1
computer vision engineer,34000,0
Frontend utvecklare,35000,6
Systemutvecklare ,52500,10
Webbutvecklare,31000,9
CRM Konsult / Tekniskt Projektledare / Utvecklare,47000,21
Arkitekt,51000,6
Systemintegratör,75000,18
Systemingenjör,37700,5
Junior frontend developer,30000,2
Front End utvecklare,27000,4
Systemutvecklare,34000,3.6
Lead developer,35000,9
Fullstack utvecklare,32000,3
webbutvecklare front end,28000,5
Systemutvecklare/lead,42000,9
Systemutvecklare,28000,0.25
Utvecklare,35000,1.5
Utvecklare/DevOp,30600,1
Webbutvecklare,21450,1
Utvecklare,50000,5
Systemutvecklare,24000,3
Frontend Developer,33000,5
Systemutvecklare,28000,1
systemutvecklare,32000,1
Lead developer,58000,10
System Engineer,42000,19
webutvecklare,27000,2.5
Android utvecklare,43000,3
Frontend (Arkitektur) Utvecklare,29000,3
Konsult,27000,1
Front End Developer,32000,4
Utvecklare,34000,3
SRE,45000,8
Webbutvecklare / frilansare,33000,3
Lead Developer,38500,10
Systemutvecklare,32660,2
Mjukvaruutvecklare,36600,5
Big data arkitekt,48000,7
Fullstack webbutvecklare ,40000,2.5
Implementationsingenjör,42000,3
Junior fullstackutvecklare,31000,1.5
Utvecklare,62000,7
Produktchef,50000,1.5
Lead Developer,38500,10
Utvecklare,30000,0.75
